date,primary type,secondary type,latitude,longitude
2016-01-20 13:00:00,BURGLARY,FORCIBLE ENTRY,41.774216041,-87.59013488
2016-01-19 08:45:00,BURGLARY,FORCIBLE ENTRY,41.78211045,-87.612823613
2016-01-19 08:00:00,BURGLARY,FORCIBLE ENTRY,41.782085401,-87.614081498
2016-01-19 00:55:00,CRIMINAL DAMAGE,TO PROPERTY,41.77453796,-87.594519432
2016-01-19 00:01:00,MOTOR VEHICLE THEFT,AUTOMOBILE,41.763274092,-87.59261436
2016-01-18 18:15:00,MOTOR VEHICLE THEFT,AUTOMOBILE,41.774093347,-87.594513536
2016-01-18 14:00:00,CRIMINAL DAMAGE,TO PROPERTY,41.777930896,-87.602828539
2016-01-18 10:15:00,ROBBERY,VEHICULAR HIJACKING,41.780217525,-87.616874156
2016-01-17 09:00:00,BURGLARY,UNLAWFUL ENTRY,41.776228586,-87.600970787
2016-01-17 00:01:00,BURGLARY,FORCIBLE ENTRY,41.782293664,-87.60057179
2016-01-16 20:00:00,BURGLARY,FORCIBLE ENTRY,41.776141673,-87.598533788
2016-01-16 14:00:00,MOTOR VEHICLE THEFT,AUTOMOBILE,41.766667659,-87.589466891
2016-01-16 13:30:00,ROBBERY,STRONGARM - NO WEAPON,41.770642516,-87.618608346
2016-01-16 13:00:00,MOTOR VEHICLE THEFT,AUTOMOBILE,41.765110076,-87.616855319
2016-01-16 12:42:00,BURGLARY,FORCIBLE ENTRY,41.782987366,-87.615692028
2016-01-15 17:00:00,CRIMINAL DAMAGE,TO VEHICLE,41.765133487,-87.609208779
2016-01-15 13:00:00,CRIMINAL DAMAGE,TO PROPERTY,41.768474586,-87.607239377
2016-01-15 11:30:00,CRIMINAL DAMAGE,TO PROPERTY,41.768474586,-87.607239377
2016-01-15 05:00:00,BURGLARY,FORCIBLE ENTRY,41.777725763,-87.615563714
2016-01-14 17:38:00,CRIMINAL DAMAGE,TO PROPERTY,41.784157757,-87.597250621
2016-01-14 12:00:00,BURGLARY,FORCIBLE ENTRY,41.775938564,-87.598528774
2016-01-14 08:00:00,BURGLARY,FORCIBLE ENTRY,41.773229362,-87.59672304
2016-01-14 06:30:00,BURGLARY,FORCIBLE ENTRY,41.782085258,-87.614935792
2016-01-13 18:25:00,CRIMINAL DAMAGE,TO VEHICLE,41.784856531,-87.615740851
2016-01-13 18:00:00,CRIMINAL DAMAGE,TO VEHICLE,41.783891154,-87.615399623
2016-01-13 07:45:00,BURGLARY,FORCIBLE ENTRY,41.782085401,-87.614081498
2016-01-12 21:06:00,BURGLARY,FORCIBLE ENTRY,41.770995109,-87.591117851
2016-01-12 17:55:00,CRIMINAL DAMAGE,TO PROPERTY,41.777445647,-87.604634161
2016-01-12 11:00:00,CRIMINAL DAMAGE,TO PROPERTY,41.763400951,-87.610375537
2016-01-12 07:30:00,BURGLARY,FORCIBLE ENTRY,41.770161326,-87.615376778
2016-01-12 04:00:00,CRIMINAL DAMAGE,TO PROPERTY,41.783163457,-87.609640259
2016-01-11 20:40:00,CRIMINAL DAMAGE,TO PROPERTY,41.774163227,-87.597276924
2016-01-11 17:26:00,CRIMINAL DAMAGE,TO PROPERTY,41.763181992,-87.609161079
2016-01-11 15:14:00,BURGLARY,FORCIBLE ENTRY,41.783363297,-87.610869976
2016-01-11 14:00:00,BURGLARY,FORCIBLE ENTRY,41.769235109,-87.595236452
2016-01-11 14:00:00,CRIMINAL DAMAGE,TO PROPERTY,41.783868524,-87.61660985
2016-01-11 11:00:00,MOTOR VEHICLE THEFT,AUTOMOBILE,41.783506135,-87.604374881
2016-01-11 08:30:00,BURGLARY,FORCIBLE ENTRY,41.771516934,-87.58525742
2016-01-10 12:00:00,CRIMINAL DAMAGE,TO PROPERTY,41.770161326,-87.615376778
2016-01-10 06:03:00,CRIMINAL DAMAGE,TO VEHICLE,41.776150283,-87.615522623
2016-01-09 20:00:00,CRIMINAL DAMAGE,TO VEHICLE,41.772995501,-87.613952104
2016-01-09 19:00:00,CRIMINAL DAMAGE,TO PROPERTY,41.765738121,-87.613717946
2016-01-09 15:45:00,MOTOR VEHICLE THEFT,AUTOMOBILE,41.762216688,-87.606228653
2016-01-09 01:25:00,CRIMINAL DAMAGE,TO PROPERTY,41.774882497,-87.610283271
2016-01-08 22:00:00,MOTOR VEHICLE THEFT,AUTOMOBILE,41.785085247,-87.613259639
2016-01-08 19:30:00,ROBBERY,ARMED: HANDGUN,41.770700577,-87.588012617
2016-01-08 13:47:00,ROBBERY,ATTEMPT: ARMED-HANDGUN,41.772758049,-87.588743985
2016-01-07 23:43:00,CRIMINAL DAMAGE,TO PROPERTY,41.779059693,-87.615596501
2016-01-07 23:00:00,BURGLARY,FORCIBLE ENTRY,41.776091802,-87.599747851
2016-01-07 20:27:00,CRIMINAL DAMAGE,TO PROPERTY,41.763276697,-87.59216715
2016-01-07 09:47:00,BURGLARY,FORCIBLE ENTRY,41.781383529,-87.607207421
